"Sample","AMA1_IgG3","pp28_IgG3","Schisto_IgG3","pp65_IgG3","BSA_IgG3","MSP1_IgG3","HRPII_IgG3","CelTos_IgG3","CSP_IgG3","PfGarp_IgG3"
"Background0",1,5,17.5,2.5,4.5,3.5,0,2,1.5,0
"HCAM-001",1.75,4.75,16.75,2.25,4.75,2.75,0.25,2.25,4.25,1.75
"Healthy-control-negative",3.5,5.5,17.5,2,4.5,3.5,1,3,32.5,8
"RAC-001-T01",26.5,32,12,4,23,13.5,-1,48,26,-7
"RAC-001-T06",15.5,29,42,4.5,9,10,8,16,839,5.5
"RAC-001-T08",11,21,24,5,7,11,2,11,5432,4
"RAC-005-T01",283.5,18,16,4,7,1005,76,36,11,54
"RAC-005-T06",11,6,17,2,6,27,9,6,16103,2
"RAC-005-T08",7,26.5,19,3.5,5,17,46,7,2274.5,4
"RAC-006-T01",1,5.5,18,2,5,5,10,2,3.5,0
"RAC-006-T06",6,7,16,3,5,10,3,9,2677,2
"RAC-006-T08",4.5,11,21,6,4,486,3,7,588.5,4
"RAM-001",43,57,16,20,10,783,98,43,37,148
"RAM-005",15427.5,92,42,7,14,6534,18,10,241,73
"RAM-006",558.5,9.5,21.5,5,7.5,25.5,15131.5,14.5,77,3.5
"RAM-012",7168.5,8,23,4,7,7,12586,4,2582.5,350
"RCC-037-T01",12,331.5,17,21,7,122,13.5,64,22.5,7
"RCC-037-T07",64,33,19,4,6,23,6,19,3896.5,20.5
"RCC-037-T08",18,24,20,6,5,32,11,18,183,35
"RCC-040-T01",9,9,15,1,8,8,1,7,4,2
"RCC-040-T07",5.5,6.5,18.5,3.5,5.5,6.5,2,5.5,10728.5,2.5
"RCC-040-T08",3,10,18,5,5,9,3,10,1406,2
"RCC-042-T01",38,178,12,9,17,32.5,11,89,6,-3.5
"RCC-042-T07",1010,197,16,12,7,890,248.5,45,1410,6
"RCC-042-T08",519,92,17,10,6,713,126.5,22,195,6
"RCC-043-T01",24,9,16,4.5,7,7,8,10,15.5,-1
"RCC-043-T07",5,8,18,5,7,6,2,3901.5,14836.5,2
"RCC-045-T01",5,86,34,16,6,117,9,43,3,3
"RCC-045-T07",2,51,137,4,6,21,2,7,2264,0
"RCC-045-T08",2,34,56,5,5,22,2,8,204,1
"RCC-046-T01",814.5,39,28,6,6,2038.5,68,51,170.5,1831
"RCC-046-T07",196,9,20,4,8,198,19,16,11375,2908.5
"RCC-046-T08",52,13,21.5,11,6,79.5,7,16,1933,931.5
"RCC-047-T01",5,7,15,2,8,4,-1,6,2.5,3
"RCC-047-T07",57,16,15,6,9,10,6,20,11049.5,4
"RCC-047-T08",12,19,18,4,5,4,2,21,1028,1
"RCC-049-T01",71.5,87.5,16.5,2.5,6.5,4.5,0.5,5.5,2.5,0.5
"RCC-049-T07",56,18,24,2,6,4,0,5,15330.5,1
"RCC-049-T08",19,19,24,4,5,8,2,6,3342,2
"RCC-050-T01",19.5,11,19,4,5,7,5,18,2,0
"RCC-050-T07",9.5,14,18,7,6,9,2,2647.5,14163,2
"RCC-050-T08",7,17,27,9,6,12,4,8096.5,8482,5
"RCC-051-T01",34,298.5,33,24,6,50,11,118,103.5,6
"RCC-051-T07",16,76,23,12,8,16,8,111,12435,10
"RCC-051-T08",10.5,105,40,10,6,21.5,8,53,6204.5,17
"RCC-052-T01",56,1763,19,8,23,22,4.5,50,19,-9
"RCC-052-T07",101.5,1474,48,8,7,11,3,23,10583,3
"RCC-052-T08",20,678,219,6,6,8,1,11,1532,2
"RCC-053-T01",3,184,682.5,4.5,5.5,12.5,2.5,22.5,2.5,2.5
"RCC-053-T07",2,35,135.5,4,6,9,4,10,10916.5,5
"RCC-053-T08",3,28,52,5,5,9,2,11,2522.5,7
"RCC-056-T01",35,310,82.5,10,5,53,14,23,6,3
"RCC-056-T07",34,19.5,63,3,7,6,2,7,4823,1
"RCC-056-T08",18,23.5,36,7,5,19,3,14,838,1.5
"RCC-058-T01",46,170.5,440,-11,42,-5,190,51,30,-21
"RCC-058-T07",6,33,234.5,1,7,4,8,5,8129,9
"RCC-058-T08",6,28,128,4,5,8,7,8,991,3
"RCC-059-T01",17,185,1257,-2,17,1,0,19,42,-7
"RCC-059-T07",9,182,444,2,7,4,1,5,14662,1
"RCC-059-T08",6,451,243,8,6,12,4,13.5,2960,4
"RCC-060-T01",3,15,16,3,5,5,1,6,3,0
"RCC-060-T07",5,7,15,2,6,3,0,3,10357,1
"RCC-060-T08",3,14,16,5,6,8,5,8,897,2
"RCM-037",421,22,24,8,6,14,119,12,319,4
"RCM-040",663,6333.5,21,24,9,283.5,1270,40,46.5,1435
"RCM-042",709,32,16.5,10,15,33,1000,20,25,5
"RCM-043",1700,2523,19.5,7,9,772,5163,111,306,21
"RCM-043-T08",7,29,19,15,6,64,14,2160,4045,4
"RCM-045",100.5,29.5,17.5,3.5,5.5,8.5,210.5,3.5,62.5,21.5
"RCM-046",685,146,44,8,10,14120,20404,118.5,313,2408
"RCM-047",1,107,17,4,5,7,1,7,11,1
"RCM-049",457,9,18.5,3,6,20,4915,81,82,4
"RCM-050",4476,18,22,7,7,4173,9462.5,43,142,11
"RCM-052",238,32,19,8,7,14,137,23,3871,4
"RCM-053",7,40,16,9,6,93,77,14,147,10
"RCM-056",17,47,15,25,9,62,12,72,356.5,192
"RCM-058",167.5,13,18,6,7,131.5,14301,8,105,5
"RCM-059",627,11,21,6,6,10,2005,15,13953,16
"RCM-060",1.5,12,16,7,6,32,31,8,3,2
